dataset,task_type,fingerprint_type,split_method,model_name,hyperparameters,run_count,train_size_mean,val_size_mean,test_size_mean,train_roc_auc_mean,train_pr_auc_mean,train_accuracy_mean,train_mae_mean,train_rmse_mean,train_r2_mean,val_roc_auc_mean,val_pr_auc_mean,val_accuracy_mean,val_mae_mean,val_rmse_mean,val_r2_mean,test_roc_auc_mean,test_pr_auc_mean,test_accuracy_mean,test_mae_mean,test_rmse_mean,test_r2_mean,train_size_std,val_size_std,test_size_std,train_roc_auc_std,train_pr_auc_std,train_accuracy_std,train_mae_std,train_rmse_std,train_r2_std,val_roc_auc_std,val_pr_auc_std,val_accuracy_std,val_mae_std,val_rmse_std,val_r2_std,test_roc_auc_std,test_pr_auc_std,test_accuracy_std,test_mae_std,test_rmse_std,test_r2_std
bbbp,classification,morgan,bm_scaffold,RandomForestClassifier,"{""class_weight"": ""balanced"", ""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 500, ""n_jobs"": -1, ""random_state"": 42}",1,1564.0,196.0,195.0,1.0,1.0,1.0,,,,0.8888269195017662,0.9726589369378776,0.9183673469387755,,,,0.933802308802309,0.9609846996336242,0.8256410256410256,,,,,,,,,,,,,,,,,,,,,,,,
bbbp,classification,morgan,butina_atompair,RandomForestClassifier,"{""class_weight"": ""balanced"", ""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 500, ""n_jobs"": -1, ""random_state"": 42}",5,1564.0,196.0,195.0,1.0,1.0,1.0,,,,0.9157938693181953,0.980641576702282,0.9102040816326531,,,,0.9179852734068106,0.9630134068525946,0.8728205128205129,,,,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.0,,,,0.02557798552896709,0.007170596955767217,0.02354689950860066,,,,0.025379098510256607,0.014729346247549442,0.022176152113271442,,,
bbbp,classification,morgan,butina_maccs,RandomForestClassifier,"{""class_weight"": ""balanced"", ""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 500, ""n_jobs"": -1, ""random_state"": 42}",5,1564.0,196.0,195.0,1.0,1.0,1.0,,,,0.8993675390436942,0.9656768678122072,0.726530612244898,,,,0.8058819457665507,0.9838244464442878,0.9261538461538461,,,,0.0,0.0,0.0,5.551115123125783e-17,0.0,0.0,,,,0.014276501428488053,0.012388286072613405,0.00853734720953139,,,,0.025230837744675366,0.00680844365399179,0.0176159631151976,,,
bbbp,classification,morgan,butina_morgan,RandomForestClassifier,"{""class_weight"": ""balanced"", ""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 500, ""n_jobs"": -1, ""random_state"": 42}",5,1564.0,196.0,195.0,1.0,1.0,1.0,,,,0.9065573254246889,0.9673313823717244,0.8775510204081632,,,,0.9203366052873966,0.9654649565045583,0.8441025641025641,,,,0.0,0.0,0.0,5.551115123125783e-17,5.551115123125783e-17,0.0,,,,0.02640356847340247,0.008595523773352952,0.020724587766928523,,,,0.025928924275742636,0.016706411363015185,0.027280894519528996,,,
bbbp,classification,morgan,random,RandomForestClassifier,"{""class_weight"": ""balanced"", ""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 500, ""n_jobs"": -1, ""random_state"": 42}",5,1564.0,196.0,195.0,1.0,1.0,1.0,,,,0.9085919348435267,0.9662875069802361,0.8795918367346939,,,,0.9525370838226875,0.9824543610929988,0.925128205128205,,,,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.0,,,,0.012235143907547562,0.0027539221256322527,0.011745780033899296,,,,0.013218207220053497,0.013477960319296708,0.014322297480788662,,,
freesolv,regression,atompair,bm_scaffold,RandomForestRegressor,"{""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 500, ""n_jobs"": -1, ""random_state"": 42}",1,435.0,152.0,55.0,,,,0.12045611394174863,0.1830179567525507,0.9713124478974293,,,,0.5593084402205214,0.6682982324620911,0.3018479579355211,,,,0.34974322914684614,0.5215731803389915,0.14553772829069467,,,,,,,,,,,,,,,,,,,,,
freesolv,regression,atompair,butina_atompair,RandomForestRegressor,"{""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 500, ""n_jobs"": -1, ""random_state"": 42}",5,514.0,64.0,64.0,,,,0.1198897585260019,0.18314827108810627,0.9648386726531303,,,,0.38804884522516847,0.5784286935176406,0.6687776088448749,,,,0.397534794845538,0.6050158386878677,0.6723387402151472,0.0,0.0,0.0,,,,0.0016376211840473213,0.008168432767946173,0.004633743929878209,,,,0.10300024326750283,0.19542305027098927,0.07010735276276508,,,,0.04309764617926948,0.07693462525554749,0.11993354001991792
freesolv,regression,atompair,butina_maccs,RandomForestRegressor,"{""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 500, ""n_jobs"": -1, ""random_state"": 42}",5,514.0,64.0,64.0,,,,0.11694046293982266,0.17362879865156938,0.9700895469834666,,,,0.5248368827057409,0.8156946071497362,0.28416788863703035,,,,0.41811341522044587,0.6231607028757322,0.3329620983740343,0.0,0.0,0.0,,,,0.004158656109973508,0.00813646403885916,0.0014775254485401652,,,,0.15798921618024003,0.375081300215261,0.2887400177402407,,,,0.11418924298002467,0.3024991661912486,0.21166991162104237
freesolv,regression,atompair,butina_morgan,RandomForestRegressor,"{""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 500, ""n_jobs"": -1, ""random_state"": 42}",5,514.0,64.0,64.0,,,,0.12004449151276646,0.1846334345376907,0.9663183877209411,,,,0.3312683786410543,0.480508804583725,0.7290873715851263,,,,0.3306001339648324,0.47512105481179967,0.7255251831132182,0.0,0.0,0.0,,,,0.0036966529350596837,0.007337738059880829,0.003929804219370886,,,,0.05758580795458269,0.061022189816083,0.12026363825045659,,,,0.04519465203609141,0.05474975789098426,0.06449197340538189
freesolv,regression,atompair,random,RandomForestRegressor,"{""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 500, ""n_jobs"": -1, ""random_state"": 42}",5,514.0,64.0,64.0,,,,0.11948280542670837,0.17843432140435697,0.967419200562663,,,,0.32300166588878276,0.5062625452716869,0.7643662661552875,,,,0.30768683868998065,0.49752863607149295,0.7464848028079489,0.0,0.0,0.0,,,,0.0016640767696525947,0.004867106954276247,0.0015381956925843625,,,,0.0700506510697747,0.18861470795024982,0.09946933245265874,,,,0.03466957285453345,0.1277109954840175,0.12572425654442682
